8/22/2022 2:51 PM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":2,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 2:51 PM CommandAcquisChB  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 2:51 PM CommandAcquisChC  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 2:51 PM CommandAcquisChD  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":2,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 2:51 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=aset on

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=bset on

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=cset on

8/22/2022 2:51 PM ResponseSyncBox  RX=OK

8/22/2022 2:51 PM CommandSyncBox  TX=dset on

