8/18/2022 4:21 PM CommandSyncBox  TX=TRigger

8/18/2022 4:21 PM ResponseSyncBox  RX=Trig   REM  HIZ  Level 3.300   Div   0000000000  SYN 00010000.00

8/18/2022 4:21 PM CommandSyncBox  TX=IN

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=FIre

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=IN

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=DDELAY 1m

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=DWIDTH 200m

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=IN

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=DDELAY 0m

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=DDELAY 0m

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=DWIDTH 200m

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

8/18/2022 4:22 PM CommandSyncBox  TX=IN

8/18/2022 4:22 PM ResponseSyncBox  RX=OK

